73,依,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,衣,212,イ.エ,よ（る）,よる。よりかかる。もたれかかる。.よる。たよる。たよりにする。.よる。したがう。.そのまま。元のまま。以前のまま。,8,2,6,-,40,常用漢字名前に使える漢字
74,侠,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,夾,768,キョウ,おとこだて.きゃん,おとこだて。おとこぎ。強者をくじき、弱者を助ける義理堅い人。.日本きゃん。おきゃん。おてんば。活発な女性。,8,2,6,-,15,-
75,価,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,襾,439,カ,あたい,あたい。値段。値打ち。.あたいする。相当する。匹敵する。,8,2,6,小学校５年生,60,教育漢字常用漢字名前に使える漢字
76,侫,人 亻（ひと・にんべん・ひとがしら・ひとやね）女（おんな・おんなへん）,亻,122,妄,859,デイ.ネイ,おもね（る）.へつら（う）.よこしま,おもねる。へつらう。うまいことをいって相手に取り入る。.よこしま。口先だけで内心は陰険である。.口が達者。物言いが巧み。,8,2,6,3,5,-,110,-
77,侭,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,尽,94,ジン,ことごと（く）.まま,ことごとく。みな。.まま。ままよ。～のままに。.日本そのまま。あるがまま。思いどおり。,8,2,6,-,110,-
78,侮,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,毎,930,ブ,あなど（る）,あなどる。軽視する。ばかにする。.あなどり。人をばかにした行動。,8,2,6,-,25,常用漢字名前に使える漢字
79,侶,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,呂,839,リョ.ロ,とも,とも。つれ。つれあい。仲間。.ともとする。仲間にする。ともに遊ぶ。,9,2,7,-,20,常用漢字名前に使える漢字
80,便,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,更,529,ビン.ベン.ヘン,たよ（り）.いばり.すなわ（ち）.へつら（う）.よすが,たより。音信。.いばり。排泄物。大便（だいべん）と小便（しょうべん）。.すなわち。すぐに。急に。.よすが。拠りどころ。.都合がよい。便利（べんり）がよい。.慣れる。熟練する。.すなわち。つまり。とりもなおさず。.へつらう。口が達者。,9,2,7,小学校４年生,70,教育漢字常用漢字名前に使える漢字
81,係,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,系,845,ケイ,かかり.かか（る）.かか（わる）.つな（ぐ）,かかる。かかわる。関係する。関与する。.かかる。かける。つなぐ。むすぶ。.日本かかり。受けもち。担当。担当者。,9,2,7,小学校３年生,80,教育漢字常用漢字名前に使える漢字
82,促,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,足,709,ソク,うなが（す）.せま（る）,うながす。急がせる。急き立てる。.せまる。間が縮まる。せわしい。,9,2,7,-,30,常用漢字名前に使える漢字
83,俄,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,我,425,ガ,にわか.にわ（か）,にわか。急に。たちまち。ほどなく。.かたむく。かたむける。.国名「ロシア」の中国語「俄羅斯（オロス・オロシア）」の略。,9,2,7,-,15,人名用漢字名前に使える漢字
84,俊,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,夋,106,シュン,すぐ（れる）,すぐれる。また、すぐれた人。.おおきい。高い。,9,2,7,-,25,常用漢字名前に使える漢字
85,俐,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,利,713,リ,かしこ（い）.さか（しい）,かしこい。さかしい。頭がよく切れる。小利口。,9,2,7,-,10,人名用漢字名前に使える漢字
86,俑,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,甬,78,トウ.ヨウ,いた（む）.ひとがた,いたむ。いたみ。.ひとがた。死者を埋葬するときに一緒に埋める人形。,9,2,7,-,10,-
87,俔,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,見,183,ケン,うかが（う）.たと（える）,うかがう。こっそりとのぞいて見る。.たとえる。別のものを引き合いに出す。,9,2,7,-,10,-
88,俗,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,谷,108,ゾク,いや（しい）.なら（わし）,いやしい。下品。程度が低い。.ならわし。ならい。習慣。.世の中。世間。.世間の人。一般の人。.なみ。ありふれた。,9,2,7,-,40,常用漢字名前に使える漢字
89,俘,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,孚,17,フ,とりこ.と（る）,とりこ。捕虜。.とりこにする。捕らえる。いけどる。.とる。うばいとる。,9,2,7,-,10,-
90,俚,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,里,232,リ,いや（しい）.ひな,いやしい。田舎くさい。ひな。ひなびた。民間の。,9,2,7,-,10,-
91,俛,人 亻（ひと・にんべん・ひとがしら・ひとやね）,亻,122,免,506,フ.ベン.メン,ふ（せる）,ふせる。ふす。うつむく。うつぶせになる。.つとめる。努力する。＝勉,9,2,7,-,10,-
